Day,Early Morning (7:00 AM),Breakfast (8:30 AM),Mid-Morning Snack (11:00 AM),Lunch (1:30 PM),Afternoon Snack (4:30 PM),Dinner (7:30 PM)
11,Bitter Gourd Juice (1 glass),Oats Porridge (1 cup) with berries and nuts,Orange (1 medium),"Brown Rice (1/2 cup) + Chhole (Chickpeas, 1 cup) + Bhindi Sabzi (1 cup, low oil)",Roasted Makhana (1/2 cup),"Whole Wheat Roti (2) with Dal Makhani (1 cup, low-cream)"
12,Fenugreek Water (1 glass),"Whole Wheat Toast (2 slices) with Paneer Bhurji (1/2 cup, low-fat)",Papaya (1 cup),Millets Pulao (1 cup) with Mixed Dal (1 cup) + Green Salad,Mixed Seeds (1 tbsp),Lentil (Masoor) Soup (1 bowl) with Whole Wheat Rusk (2)
13,Ginger-Turmeric Tea (1 cup),Quinoa Upma (1 cup) with vegetables,Apple (1 medium),"Whole Wheat Roti (2) + Arhar/Toor Dal (1 cup) + Baingan Bharta (1 cup, low oil)",Low-fat Curd (1 cup) with Flaxseeds,Tofu/Soya Stir-Fry (1.5 cup) with minimal sauce
14,Cinnamon Water (1 glass),Moong Dal Sprouts Salad (1 cup) with grated carrot/cucumber,Pear (1 medium),Brown Rice (1/2 cup) + Vegetable Sambhar (1.5 cup) + Cabbage Poriyal (1 cup),Handful of Walnuts (5-6),Whole Wheat Roti (2) with Tofu/Mushroom Curry (1 cup)
15,Fenugreek Water (1 glass),Oats Idli (2) with Sambar (1 cup),Apple (1 medium),"Brown Rice (1/2 cup) + Moong Dal (1 cup) + Palak Paneer (1 cup, low-fat)",Roasted Peanuts (1/4 cup),Whole Wheat Roti (2) with Mixed Vegetable Curry (1.5 cup)
16,Cinnamon Water (1 glass),Besan Cheela (2) with Green Chutney,Pear (1 medium),Quinoa Pulao (1 cup) with Tofu/Soya Chunks + Cucumber Raita,Handful of Almonds (5-6),Vegetable Dalia (1 bowl)
17,Warm Water with Lemon (1 glass),Ragi Dosa (2) with Sambar (1 cup),Guava (1 medium),"Whole Wheat Roti (2) + Rajma (Kidney Beans, 1 cup) + Steamed Cauliflower & Carrots",Sprouted Moong Salad (1 cup),Millets Khichdi (1 cup) with Green Peas
18,Bitter Gourd Juice (1 glass),Oats Porridge (1 cup) with berries and nuts,Orange (1 medium),"Brown Rice (1/2 cup) + Chhole (Chickpeas, 1 cup) + Bhindi Sabzi (1 cup, low oil)",Roasted Makhana (1/2 cup),"Whole Wheat Roti (2) with Dal Makhani (1 cup, low-cream)"
19,Fenugreek Water (1 glass),"Whole Wheat Toast (2 slices) with Paneer Bhurji (1/2 cup, low-fat)",Papaya (1 cup),Millets Pulao (1 cup) with Mixed Dal (1 cup) + Green Salad,Mixed Seeds (1 tbsp),Lentil (Masoor) Soup (1 bowl) with Whole Wheat Rusk (2)
20,Ginger-Turmeric Tea (1 cup),Quinoa Upma (1 cup) with vegetables,Apple (1 medium),"Whole Wheat Roti (2) + Arhar/Toor Dal (1 cup) + Baingan Bharta (1 cup, low oil)",Low-fat Curd (1 cup) with Flaxseeds,Tofu/Soya Stir-Fry (1.5 cup) with minimal sauce
21,Cinnamon Water (1 glass),Moong Dal Sprouts Salad (1 cup) with grated carrot/cucumber,Pear (1 medium),Brown Rice (1/2 cup) + Vegetable Sambhar (1.5 cup) + Cabbage Poriyal (1 cup),Handful of Walnuts (5-6),Whole Wheat Roti (2) with Tofu/Mushroom Curry (1 cup)
22,Fenugreek Water (1 glass),Oats Idli (2) with Sambar (1 cup),Apple (1 medium),"Brown Rice (1/2 cup) + Moong Dal (1 cup) + Palak Paneer (1 cup, low-fat)",Roasted Peanuts (1/4 cup),Whole Wheat Roti (2) with Mixed Vegetable Curry (1.5 cup)
23,Cinnamon Water (1 glass),Besan Cheela (2) with Green Chutney,Pear (1 medium),Quinoa Pulao (1 cup) with Tofu/Soya Chunks + Cucumber Raita,Handful of Almonds (5-6),Vegetable Dalia (1 bowl)
24,Warm Water with Lemon (1 glass),Ragi Dosa (2) with Sambar (1 cup),Guava (1 medium),"Whole Wheat Roti (2) + Rajma (Kidney Beans, 1 cup) + Steamed Cauliflower & Carrots",Sprouted Moong Salad (1 cup),Millets Khichdi (1 cup) with Green Peas
25,Bitter Gourd Juice (1 glass),Oats Porridge (1 cup) with berries and nuts,Orange (1 medium),"Brown Rice (1/2 cup) + Chhole (Chickpeas, 1 cup) + Bhindi Sabzi (1 cup, low oil)",Roasted Makhana (1/2 cup),"Whole Wheat Roti (2) with Dal Makhani (1 cup, low-cream)"
26,Fenugreek Water (1 glass),"Whole Wheat Toast (2 slices) with Paneer Bhurji (1/2 cup, low-fat)",Papaya (1 cup),Millets Pulao (1 cup) with Mixed Dal (1 cup) + Green Salad,Mixed Seeds (1 tbsp),Lentil (Masoor) Soup (1 bowl) with Whole Wheat Rusk (2)
27,Ginger-Turmeric Tea (1 cup),Quinoa Upma (1 cup) with vegetables,Apple (1 medium),"Whole Wheat Roti (2) + Arhar/Toor Dal (1 cup) + Baingan Bharta (1 cup, low oil)",Low-fat Curd (1 cup) with Flaxseeds,Tofu/Soya Stir-Fry (1.5 cup) with minimal sauce
28,Cinnamon Water (1 glass),Moong Dal Sprouts Salad (1 cup) with grated carrot/cucumber,Pear (1 medium),Brown Rice (1/2 cup) + Vegetable Sambhar (1.5 cup) + Cabbage Poriyal (1 cup),Handful of Walnuts (5-6),Whole Wheat Roti (2) with Tofu/Mushroom Curry (1 cup)
29,Fenugreek Water (1 glass),Oats Idli (2) with Sambar (1 cup),Apple (1 medium),"Brown Rice (1/2 cup) + Moong Dal (1 cup) + Palak Paneer (1 cup, low-fat)",Roasted Peanuts (1/4 cup),Whole Wheat Roti (2) with Mixed Vegetable Curry (1.5 cup)
30,Cinnamon Water (1 glass),Besan Cheela (2) with Green Chutney,Pear (1 medium),Quinoa Pulao (1 cup) with Tofu/Soya Chunks + Cucumber Raita,Handful of Almonds (5-6),Vegetable Dalia (1 bowl)
