Assamese,14,Cucumber and Mint Infused Water (1 glass),Poha with Sprouts (1 cup),Fresh Pineapple Slices (1 cup),Palak (Spinach) and Moong Daal (1 cup) with Roasted Chana (1/2 cup),Handful of Almonds,Green Tea (1 cup),Mixed Vegetable Sabzi with Quinoa (1 cup)
Assamese,15,Fresh Tomato Juice (1 glass),Veg Paratha (2 pieces) with Dahi,Fresh Apple (1 medium sized),Daal (1 cup) with Brown Rice (1/2 cup),Sprouted Moong Salad (1 cup),Buttermilk (1 glass),Mixed Vegetable Sabzi with Quinoa (1 cup)
Assamese,16,Fenugreek Water (1 glass),Quinoa Upma (1 cup),Fresh Kiwi (1 medium sized),Brown Rice Pulao with Tofu (1 cup),Walnuts (15 pieces),Herbal Tea (1 cup),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Assamese,17,Fennel Seeds in Water (1 glass),Whole Wheat Roti (2 pieces) with Mixed Vegetable Sabzi,Fresh Papaya (1 cup),Vegetable Khichdi (1 cup),Roasted Peanuts (1/4 cup),Lemonade with Stevia (1 glass),Palak (Spinach) and Moong Daal (1 cup) with Brown Rice (1/2 cup)
Assamese,18,Ginger Turmeric Tea (1 cup),Oats Idli (2 pieces) with Mint Chutney,Fresh Apple (1 medium sized),Daal (1 cup) with Quinoa (1/2 cup),Handful of Pumpkin Seeds (1/4 cup),Coconut Water (1 glass),Mixed Vegetable Sabzi with Whole Wheat Roti (2 pieces)
Assamese,19,Green Tea with Cinnamon (1 cup),Moong Dal Chila (2 pieces) with Green Chutney,Fresh Guava (1 medium sized),Brown Rice Biryani with Soya Chunks (1 cup),Handful of Sunflower Seeds (1/4 cup),Amla Juice (1 glass),Palak Paneer (1 cup) with Brown Rice (1/2 cup)
Assamese,20,Carom Seeds Water (1 glass),Paneer Bhurji (1/2 cup) with Whole Wheat Roti (2 pieces),Fresh Orange (1 medium sized),Vegetable Khichdi (1 cup),Roasted Makhana (Fox Nuts) (1/2 cup),Buttermilk (1 glass),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Assamese,21,Cucumber and Mint Infused Water (1 glass),Poha with Sprouts (1 cup),Fresh Pineapple Slices (1 cup),Palak (Spinach) and Moong Daal (1 cup) with Roasted Chana (1/2 cup),Handful of Almonds,Green Tea (1 cup),Mixed Vegetable Sabzi with Quinoa (1 cup)
Assamese,22,Fresh Tomato Juice (1 glass),Veg Paratha (2 pieces) with Dahi,Fresh Apple (1 medium sized),Daal (1 cup) with Brown Rice (1/2 cup),Sprouted Moong Salad (1 cup),Buttermilk (1 glass),Mixed Vegetable Sabzi with Quinoa (1 cup)
Assamese,23,Fenugreek Water (1 glass),Quinoa Upma (1 cup),Fresh Kiwi (1 medium sized),Brown Rice Pulao with Tofu (1 cup),Walnuts (15 pieces),Herbal Tea (1 cup),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Assamese,24,Fenugreek Water (1 glass),Quinoa Upma (1 cup),Fresh Kiwi (1 medium sized),Brown Rice Pulao with Tofu (1 cup),Walnuts (15 pieces),Herbal Tea (1 cup),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Assamese,25,Fennel Seeds in Water (1 glass),Whole Wheat Roti (2 pieces) with Mixed Vegetable Sabzi,Fresh Papaya (1 cup),Vegetable Khichdi (1 cup),Roasted Peanuts (1/4 cup),Lemonade with Stevia (1 glass),Palak (Spinach) and Moong Daal (1 cup) with Brown Rice (1/2 cup)
Assamese,26,Ginger Turmeric Tea (1 cup),Oats Idli (2 pieces) with Mint Chutney,Fresh Apple (1 medium sized),Daal (1 cup) with Quinoa (1/2 cup),Handful of Pumpkin Seeds (1/4 cup),Coconut Water (1 glass),Mixed Vegetable Sabzi with Whole Wheat Roti (2 pieces)
Assamese,27,Green Tea with Cinnamon (1 cup),Moong Dal Chila (2 pieces) with Green Chutney,Fresh Guava (1 medium sized),Brown Rice Biryani with Soya Chunks (1 cup),Handful of Sunflower Seeds (1/4 cup),Amla Juice (1 glass),Palak Paneer (1 cup) with Brown Rice (1/2 cup)
Assamese,28,Carom Seeds Water (1 glass),Paneer Bhurji (1/2 cup) with Whole Wheat Roti (2 pieces),Fresh Orange (1 medium sized),Vegetable Khichdi (1 cup),Roasted Makhana (Fox Nuts) (1/2 cup),Buttermilk (1 glass),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Assamese,29,Cucumber and Mint Infused Water (1 glass),Poha with Sprouts (1 cup),Fresh Pineapple Slices (1 cup),Palak (Spinach) and Moong Daal (1 cup) with Roasted Chana (1/2 cup),Handful of Almonds,Green Tea (1 cup),Mixed Vegetable Sabzi with Quinoa (1 cup)
Assamese,30,Fresh Tomato Juice (1 glass),Veg Paratha (2 pieces) with Dahi,Fresh Apple (1 medium sized),Daal (1 cup) with Brown Rice (1/2 cup),Handful of Almonds,Buttermilk (1 glass),Mixed Vegetable Sabzi with Quinoa (1 cup)
Awadhi,1,Fresh Tomato Juice (1 glass),Veg Paratha (2 pieces) with Dahi,Fresh Apple (1 medium sized),Daal (1 cup) with Brown Rice (1/2 cup),Sprouted Moong Salad (1 cup),Buttermilk (1 glass),Mixed Vegetable Sabzi with Quinoa (1 cup)
Awadhi,2,Fenugreek Water (1 glass),Quinoa Upma (1 cup),Fresh Kiwi (1 medium sized),Brown Rice Pulao with Tofu (1 cup),Walnuts (15 pieces),Herbal Tea (1 cup),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Awadhi,3,Fennel Seeds in Water (1 glass),Whole Wheat Roti (2 pieces) with Mixed Vegetable Sabzi,Fresh Papaya (1 cup),Vegetable Khichdi (1 cup),Roasted Peanuts (1/4 cup),Lemonade with Stevia (1 glass),Palak (Spinach) and Moong Daal (1 cup) with Brown Rice (1/2 cup)
Awadhi,4,Ginger Turmeric Tea (1 cup),Oats Idli (2 pieces) with Mint Chutney,Fresh Apple (1 medium sized),Daal (1 cup) with Quinoa (1/2 cup),Handful of Pumpkin Seeds (1/4 cup),Coconut Water (1 glass),Mixed Vegetable Sabzi with Whole Wheat Roti (2 pieces)
Awadhi,5,Green Tea with Cinnamon (1 cup),Moong Dal Chila (2 pieces) with Green Chutney,Fresh Guava (1 medium sized),Brown Rice Biryani with Soya Chunks (1 cup),Handful of Sunflower Seeds (1/4 cup),Amla Juice (1 glass),Palak Paneer (1 cup) with Brown Rice (1/2 cup)
Awadhi,6,Carom Seeds Water (1 glass),Paneer Bhurji (1/2 cup) with Whole Wheat Roti (2 pieces),Fresh Orange (1 medium sized),Vegetable Khichdi (1 cup),Roasted Makhana (Fox Nuts) (1/2 cup),Buttermilk (1 glass),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Awadhi,7,Cucumber and Mint Infused Water (1 glass),Poha with Sprouts (1 cup),Fresh Pineapple Slices (1 cup),Palak (Spinach) and Moong Daal (1 cup) with Roasted Chana (1/2 cup),Handful of Almonds,Green Tea (1 cup),Mixed Vegetable Sabzi with Quinoa (1 cup)
Awadhi,8,Fresh Tomato Juice (1 glass),Veg Paratha (2 pieces) with Dahi,Fresh Apple (1 medium sized),Daal (1 cup) with Brown Rice (1/2 cup),Sprouted Moong Salad (1 cup),Buttermilk (1 glass),Mixed Vegetable Sabzi with Quinoa (1 cup)
